doc_id,obra_id,author,title,year,lang,traduccio,variant,source_file,n_paragraphs
doc_003131,3131,"Vallmitjana, Juli",L'abella perduda,1910,LIT,no,central,003131_L_abella_perduda.out.txt,124
doc_003150,3150,"Morató i Grau, Josep",El tresor,1912,LIT,no,central,003150_El_tresor.out.txt,812
doc_003154,3154,"Karr i Alfonsetti, Carme",Els ídols,1911,LIT,no,central,003154_Els_idols.out.txt,182
doc_003161,3161,"Vallmitjana, Juli",Els zin-calós,1911,LIT,no,central,003161_Els_zin-calos.out.txt,341
doc_003171,3171,"Alomar, Gabriel",El futurisme,1905,LIT,no,baleàric,003171_El_futurisme.out.txt,66
doc_003181,3181,"Vidal i Rosich, Plàcid",Somni de primavera,1911,LIT,no,central,003181_Somni_de_primavera.out.txt,185
doc_003259,3259,"Albert i Pey, Salvador",Involució,1908,LIT,no,central,003259_Involucio.out.txt,297
doc_003297,3297,"Corominas, Pere",Les albes de la vida,1908,LIT,no,central,003297_Les_albes_de_la_vida.out.txt,124
doc_003309,3309,"Guimerà, Àngel",Andrónica,1905,LIT,no,central,003309_Andronica.out.txt,857
doc_003364,3364,"Karr i Alfonsetti, Carme",Primera conferencia,1910,LIT,no,central,003364_Primera_conferencia.out.txt,122
doc_003379,3379,"Maragall, Joan",Elogis,1912,LIT,no,central,003379_Elogis.out.txt,181
